53858,922922
284979,1157490
53858,1157490
1834,951990
222688,922922
324847,324905
53858,951990
324847,29376
9586,1128898
53858,72324
232840,552141
325123,323510
324847,2054098
325123,324363
38321,951990
1285762,53858
325123,4510220
324847,139314
1403212,141822
53858,38321
325123,232840
324905,103694
53858,2153
325123,324847
324847,91013
324905,162890
222688,505142
324905,14877
232840,924116
325308,466695
9586,72324
325123,314
325123,14877
325123,29376
53858,139314
1834,1964
53858,29376
326139,14877
1834,314
1285762,139314
14877,284979
