53858,922922
53858,1271772
53858,1157490
38321,950868
1207256,951990
1834,951990
53858,1211056
222688,922922
325419,520646
324847,324905
74410,887752
222688,520106
53858,951990
324847,29376
9586,1128898
324847,2176082
74410,1286248
923242,1285762
53858,1229208
1207256,2094216
222688,520021
74410,1285762
53858,137800
74410,888054
74410,29376
53858,1232208
325419,320134
53858,1207256
1207256,1157490
38321,951990
1285762,53858
324847,139314
222688,520646
1403212,141822
950868,222688
53858,38321
324905,103694
950868,192523
74410,520267
74410,520021
53858,2153
38321,689758
74410,232840
74410,887610
324847,91013
1285762,320134
324905,162890
1285762,74410
1285762,520267
53858,1210822
232840,924116
325308,466695
222688,923242
887610,1913582
324847,923242
53858,1283090
53858,1231758
2855328,4510220
53858,1227596
53858,139314
1834,1964
53858,29376
1964,2855328
950868,29376
222688,192523
1285762,139314
222688,520267
689758,191682
324847,1207256
2855328,141822
325419,888054
