53858,222688,505815
74410,923242,1285762
1207256,1285762,319228
53858,226586,799958
74410,325123,232840
284979,324905,689758,1155982
222688,324847,325123,923242
1834,1285762,2482610
9586,222688,1207256,292090
74410,222688,1285762,520267
232840,1913582,3447738
53858,74410,324847,325123,950868,29376
1834,284979,324847,325123,2949878,693886
14877,689758,191682
53858,284979,1207256,1157490
222688,325123,92504
1834,325123,314
1834,1207256,2093352
325419,1285762,320134
74410,325419,888054
1834,2949878,2474502
324905,325123,326139,14877
325123,1285762,74410
326139,1207256,2090918
53858,324847,1285762,139314
9586,320340,1130370
325419,1286248,3558992
74410,222688,284979,520021
324847,1207256,2054098
222688,325419,520646
324847,325123,3077390
222688,324847,292428
74410,326139,1092565
950868,1285762,2387
72324,950868,294757
53858,324847,1207256
74410,284979,864960
1403212,2855328,141822
74410,91013,887610,934314
9586,53858,74410,923242,950868,72324
53858,222688,922922
325123,2855328,4510220
1834,38321,53858,1207256,951990
14877,222688,950868,192523
